cid,compound,aveaffinty
237,CHEMBL7568,2208.5
2160,CHEMBL629,33.8
2162,CHEMBL1491,1030.5
2170,CHEMBL1113,1817.5
2247,CHEMBL296419,1122.0
2406,CHEMBL290106,2515.0
2435,CHEMBL844,44.0
2585,CHEMBL723,51.5
2726,CHEMBL71,214.0
2765,CHEMBL13852,549.54
2769,CHEMBL1729,446.5
2801,CHEMBL415,809.0
2803,CHEMBL134,66.4433333333
2818,CHEMBL42,3.97333333333
2913,CHEMBL516,730.0
3151,CHEMBL219916,579.0
3157,CHEMBL707,280.0
3158,CHEMBL1628227,589.5
3168,CHEMBL1108,1009.5
3191,CHEMBL305660,157.9
3372,CHEMBL726,88.0
3519,CHEMBL862,3692.0
3559,CHEMBL54,1056.5
3561,CHEMBL1289,2316.5
3598,CHEMBL496,3994.45
4011,CHEMBL21731,1743.0
4184,CHEMBL6437,69.6
4205,CHEMBL654,18.0
4543,CHEMBL445,116.5
4585,CHEMBL715,230.0
4636,CHEMBL762,1508.0
4810,CHEMBL19236,2000.0
4893,CHEMBL2,216.905
4917,CHEMBL728,47.0
4926,CHEMBL564,145.0
4927,CHEMBL643,1392.0
5002,CHEMBL716,240.95
5035,CHEMBL81,422.5
5073,CHEMBL85,4.71666666667
5318,CHEMBL1221,2825.5
5401,CHEMBL611,3460.0
5405,CHEMBL17157,2146.5
5452,CHEMBL479,98.0
5472,CHEMBL833,673.0
5533,CHEMBL621,1112.0
5640,CHEMBL420060,131.0
5685,CHEMBL25554,0.8
5775,CHEMBL597,53.675
5816,CHEMBL679,1402.5
6169,CHEMBL537669,27.1
6761,CHEMBL1909072,25.735
8223,CHEMBL442,6.905
8447,CHEMBL508112,949.5
8478,CHEMBL221753,1123.0
8816,CHEMBL334255,857.0
10219,CHEMBL50588,104.0
10531,CHEMBL1732,5.755
11057,CHEMBL64894,1079.0
11080,CHEMBL1381098,31231.5
12456,CHEMBL12089,1624.5
15730,CHEMBL195437,8151.0
26987,CHEMBL1626,54.5
28417,CHEMBL1479,13601.5
28693,CHEMBL19215,108.0
28864,CHEMBL157138,2.468
30668,CHEMBL17860,69.18
31101,CHEMBL493,298.0
33625,CHEMBL279516,476.0
42574,CHEMBL12131,4050.0
47811,CHEMBL531,807.5
54459,CHEMBL10316,17.78
60838,CHEMBL481,1816.0
68617,CHEMBL809,2563.75
68712,CHEMBL289480,12.59
71310,CHEMBL353972,4.17
73453,CHEMBL1385840,9.705
104903,CHEMBL1630578,4523.0
108094,CHEMBL10332,0.794
122295,CHEMBL114166,64.0
181743,CHEMBL467094,181.0
185076,CHEMBL49137,27.0
196129,CHEMBL1909065,922.0
213041,CHEMBL1255582,13.8
222757,CHEMBL282575,14116.0
439260,CHEMBL1437,63.0
441082,CHEMBL191703,10.535
441383,CHEMBL1306,239.5
444034,CHEMBL1255837,4.955
448537,CHEMBL411,8676.0
540335,CHEMBL106525,27.995
609483,CHEMBL362051,10.0
657255,CHEMBL588119,1973.35
941361,CHEMBL30008,127.0
1201549,CHEMBL1201203,226.0
1547484,CHEMBL43064,373.5
1548953,CHEMBL954,848.5
