cid,compound,aveaffinty
123631,CHEMBL939,780.0
156422,CHEMBL103667,1350.0
176870,CHEMBL553,1300.0
216239,CHEMBL1336,190.0
3025986,CHEMBL296468,4300.0
3081361,CHEMBL24828,2550.0
5287969,CHEMBL428690,2550.0
5329102,CHEMBL535,5700.0
5494449,CHEMBL572878,5200.0
9874913,CHEMBL483321,840.0
9926791,CHEMBL221959,1600.0
10138259,CHEMBL1721885,5500.0
10184653,CHEMBL1173655,1600.0
10427712,CHEMBL230011,720.0
11213558,CHEMBL475251,130.0
11314340,CHEMBL379218,3400.0
11409972,CHEMBL574738,3.0
11427553,CHEMBL1908397,1200.0
11485656,CHEMBL223360,270.0
16007391,CHEMBL215152,1200.0
16038120,CHEMBL509032,44.0
16722836,CHEMBL1287853,380.0
24889392,CHEMBL576982,2600.0
24905147,CHEMBL1241674,820.0
25126798,CHEMBL1789941,200.0
44299148,CHEMBL162,19.5
44588220,CHEMBL511337,1230.0
45481524,CHEMBL576817,1600.0
54760383,CHEMBL2178352,3200.0
57399640,CHEMBL1908393,3.7
71717270,CHEMBL2309006,1.4
