cid,compound,aveaffinty
503593,CHEMBL404038,0.253333333333
703281,CHEMBL259633,17000.0
827010,CHEMBL259804,22000.0
1120446,CHEMBL261864,48000.0
1818134,CHEMBL259819,22000.0
2245623,CHEMBL410485,49000.0
2251493,CHEMBL260229,50000.0
2887294,CHEMBL406556,99000.0
2887364,CHEMBL265469,79000.0
5396725,CHEMBL265438,26000.0
11528282,CHEMBL2057898,1000.0
11579082,CHEMBL2058183,300.0
11672622,CHEMBL2058187,200.0
11686847,CHEMBL601940,13.35
24810890,CHEMBL408340,90000.0
24812487,CHEMBL411931,49000.0
46230268,CHEMBL601938,2.5
46230271,CHEMBL591446,2.5
56950527,CHEMBL2058764,15.0
56950528,CHEMBL2058765,6.5
56950658,CHEMBL2058766,4.2
70682115,CHEMBL2058191,300.0
70686402,CHEMBL2058763,1000.0
70692669,CHEMBL2057901,1000.0
70696758,CHEMBL2057900,53.0
70696759,CHEMBL2057902,300.0
