cid,compound,aveaffinty
359052,CHEMBL207012,21000.0
613528,CHEMBL377085,2800.0
2782903,CHEMBL207071,24000.0
5329102,CHEMBL535,520.0
9549298,CHEMBL200027,200.0
9813758,CHEMBL249697,1700.0
9813880,CHEMBL231036,990.0
9884685,CHEMBL573339,1700.0
9900652,CHEMBL231037,1600.0
9912932,CHEMBL173484,20000.0
9922100,CHEMBL230184,870.0
9929127,CHEMBL608154,1000.0
9977819,CHEMBL522892,1800.0
10109125,CHEMBL230185,1700.0
10138259,CHEMBL1721885,670.0
10410982,CHEMBL334758,6918.0
11213558,CHEMBL475251,120.0
11409972,CHEMBL574738,41.0
11427553,CHEMBL1908397,180.0
11658882,CHEMBL210032,970.0
15979284,CHEMBL230488,398.11
16047031,CHEMBL230912,1995.26
16047033,CHEMBL230913,5011.87
16047147,CHEMBL231108,1995.26
16047150,CHEMBL231211,5011.87
16047856,CHEMBL230276,501.19
16047968,CHEMBL397009,79.43
16048084,CHEMBL230055,2511.89
16048085,CHEMBL397008,1000.0
16048194,CHEMBL230597,12589.25
16048303,CHEMBL231623,5011.87
16048308,CHEMBL230595,6309.57
16048414,CHEMBL230809,7943.28
16048415,CHEMBL230911,3162.28
16048543,CHEMBL230699,10000.0
16663529,CHEMBL231530,230.0
16722836,CHEMBL1287853,830.0
20767724,CHEMBL390201,670.0
22285027,CHEMBL536520,390.0
22477600,CHEMBL482538,3981.07
23648887,CHEMBL520954,794.33
23648890,CHEMBL473080,251.19
23648920,CHEMBL520655,1258.93
23648921,CHEMBL519028,158.49
23648953,CHEMBL482746,50.12
24856835,CHEMBL504261,398.11
24983829,CHEMBL482747,125.89
24984615,CHEMBL484966,7943.28
24984616,CHEMBL485145,3981.07
24984774,CHEMBL483557,316.23
24985283,CHEMBL519965,158.49
25190928,CHEMBL389086,15848.93
42630578,CHEMBL520308,3162.28
44299148,CHEMBL162,22.4
44353870,CHEMBL335949,1698.0
44353885,CHEMBL411659,1479.0
44353890,CHEMBL133941,3981.0
44353891,CHEMBL334506,2692.0
44353923,CHEMBL337236,1622.0
44353953,CHEMBL130631,3981.0
44353954,CHEMBL424069,1096.0
44353955,CHEMBL129981,851.0
44353966,CHEMBL338848,1230.0
44353967,CHEMBL130511,2089.0
44353968,CHEMBL336594,1622.0
44353969,CHEMBL130866,2344.0
44353987,CHEMBL132942,155.0
44353995,CHEMBL131693,245.0
44353996,CHEMBL133548,1202.0
44353999,CHEMBL341432,5129.0
44354000,CHEMBL133928,1175.0
44354001,CHEMBL134010,2344.0
44354009,CHEMBL133471,4074.0
44354029,CHEMBL133823,331.0
44354030,CHEMBL132416,3802.0
44406379,CHEMBL200832,1200.0
44406386,CHEMBL371967,1200.0
44406419,CHEMBL200229,150.0
44406468,CHEMBL382752,3800.0
44406470,CHEMBL370166,3700.0
44406486,CHEMBL200946,5000.0
44406549,CHEMBL381041,500.0
44406564,CHEMBL199980,400.0
44406565,CHEMBL199837,30.0
44406581,CHEMBL372160,30000.0
44406586,CHEMBL382945,30.0
44406614,CHEMBL371543,700.0
44406634,CHEMBL372736,100.0
44406635,CHEMBL200106,500.0
44406636,CHEMBL200462,1000.0
44425584,CHEMBL231210,1995.26
44425585,CHEMBL231512,1000.0
44425588,CHEMBL231614,1000.0
44425594,CHEMBL230047,630.96
44425596,CHEMBL426532,794.33
44425599,CHEMBL388646,1000.0
44425606,CHEMBL231129,794.33
44591531,CHEMBL482539,316.23
44591532,CHEMBL482540,31.62
44591552,CHEMBL453707,794.33
44591553,CHEMBL482553,1258.93
44591574,CHEMBL520473,125.89
44591575,CHEMBL483165,12.59
44591576,CHEMBL483166,1000.0
53317336,CHEMBL1681988,9000.0
53323910,CHEMBL1681985,41000.0
57397989,CHEMBL1908392,4500.0
57399640,CHEMBL1908393,5900.0
71717270,CHEMBL2309006,9.0
