protein	compound	aveaffinty
CHEMBL2001	CHEMBL571599	0.92
CHEMBL2001	CHEMBL566745	1.2
CHEMBL2001	CHEMBL596769	42
CHEMBL2001	CHEMBL578271	4.9
CHEMBL2001	CHEMBL592671	9.4
CHEMBL2001	CHEMBL1784240	3850
CHEMBL2001	CHEMBL603148	7.9
CHEMBL2001	CHEMBL601272	11
CHEMBL2001	CHEMBL569781	15
CHEMBL2001	CHEMBL569910	5.7
CHEMBL2001	CHEMBL2172165	22
CHEMBL2001	CHEMBL571929	7.5
CHEMBL2001	CHEMBL603149	6.1
CHEMBL2001	CHEMBL1784226	900
CHEMBL2001	CHEMBL590039	16
CHEMBL2001	CHEMBL579334	5.1
CHEMBL2001	CHEMBL590262	9.8
CHEMBL2001	CHEMBL1784210	5000
CHEMBL2001	CHEMBL591510	54
CHEMBL2001	CHEMBL570093	2
CHEMBL2001	CHEMBL2021586	26
CHEMBL2001	CHEMBL2172160	219
CHEMBL2001	CHEMBL569053	27
CHEMBL2001	CHEMBL562344	68
CHEMBL2001	CHEMBL566176	7.4
CHEMBL2001	CHEMBL578507	1.9
CHEMBL2001	CHEMBL570151	2.1
CHEMBL2001	CHEMBL565836	0.67
CHEMBL2001	CHEMBL570053	6.8
CHEMBL2001	CHEMBL592888	5.3
CHEMBL2001	CHEMBL588492	5.3
CHEMBL2001	CHEMBL590254	10
CHEMBL2001	CHEMBL569629	3.7
CHEMBL2001	CHEMBL601273	7.3
CHEMBL2001	CHEMBL569815	12
CHEMBL2001	CHEMBL600575	1.3
CHEMBL2001	CHEMBL590950	1.3
CHEMBL2001	CHEMBL1782537	2000
CHEMBL2001	CHEMBL586227	5.8
CHEMBL2001	CHEMBL578324	6
CHEMBL2001	CHEMBL600576	5.3
CHEMBL2001	CHEMBL541745	36
CHEMBL2001	CHEMBL603144	9
CHEMBL2001	CHEMBL590989	8.6
CHEMBL2001	CHEMBL596961	7.9
CHEMBL2001	CHEMBL1784238	2100
CHEMBL2001	CHEMBL552973	18
CHEMBL2001	CHEMBL2172157	42
CHEMBL2001	CHEMBL2172159	613
CHEMBL2001	CHEMBL591712	1.4
CHEMBL2001	CHEMBL578080	2.7
CHEMBL2001	CHEMBL1784206	1330
