cid,compound,aveaffinty
2361,CHEMBL26260,5466.7
2577,CHEMBL460499,6121.0
3117,CHEMBL964,1510.0
3598,CHEMBL496,2484.4
3728,CHEMBL86754,5264.0
5624,CHEMBL141343,4962.0
5717,CHEMBL603,4376.0
6238,CHEMBL1062,3157.0
104903,CHEMBL1630578,16262.0
448991,CHEMBL23254,3333.0
456214,CHEMBL23327,9000.0
2723601,CHEMBL727,5516.0
5703619,CHEMBL2347053,1146.0
10361267,CHEMBL1668411,1400.0
10578931,CHEMBL1159655,22503.0
16038120,CHEMBL509032,430.0
16043304,CHEMBL213618,400.0
16129778,CHEMBL506247,4052.0
44299148,CHEMBL162,6650.0
44401410,CHEMBL195641,300.0
44401506,CHEMBL364935,750.0
46203864,CHEMBL1089119,980.0
71717270,CHEMBL2309006,9800.0
