cid,compound,aveaffinty
3082718,CHEMBL38576,4000.0
9846574,CHEMBL366221,200.0
10119115,CHEMBL518301,41.0
10119117,CHEMBL2348523,117.0
10120078,CHEMBL190533,110.0
10121972,CHEMBL479413,3.0
10173280,CHEMBL567303,53.1433333333
10190075,CHEMBL505360,12.0
10210584,CHEMBL482302,140.0
10232516,CHEMBL521117,71.0
10278166,CHEMBL1164033,251.19
10303115,CHEMBL1163360,67.0
11272107,CHEMBL2348501,33.0
11520939,CHEMBL223905,5.01
12704866,CHEMBL500880,12.59
16656749,CHEMBL567736,45.0
18613636,CHEMBL481129,500.0
18613640,CHEMBL520258,47.0
21023902,CHEMBL522770,9.5
23627249,CHEMBL568316,76.0
23627251,CHEMBL584545,3200.0
23627305,CHEMBL569688,200.0
23627492,CHEMBL565937,310.0
23627554,CHEMBL566187,160.0
23627555,CHEMBL571683,230.0
23627556,CHEMBL577518,160.0
23627557,CHEMBL566389,310.0
23627612,CHEMBL572138,570.0
23627613,CHEMBL566364,310.0
23627666,CHEMBL567759,13.0
23627722,CHEMBL568165,49.0
23728637,CHEMBL396443,65.0
24804161,CHEMBL240916,77.0
24804323,CHEMBL239199,30.0
24804324,CHEMBL237879,27.0
24804325,CHEMBL391355,160.0
24804326,CHEMBL391354,54.0
24804491,CHEMBL238066,140.0
24804816,CHEMBL392166,430.0
24863522,CHEMBL507691,4.0
24893978,CHEMBL495075,4.0
25067046,CHEMBL402303,6.0
25067560,CHEMBL497171,3.98
25124736,CHEMBL578205,11.0
25125422,CHEMBL568637,4.0
25125764,CHEMBL568123,18.0
25126424,CHEMBL567075,18.0
25126427,CHEMBL567713,4.0
25127070,CHEMBL578204,59.0
25127071,CHEMBL578203,11.0
25127072,CHEMBL571537,44.0
25211348,CHEMBL505353,63.1
44206680,CHEMBL566894,64.0
44290317,CHEMBL437430,0.794
44399163,CHEMBL264726,320.0
44421620,CHEMBL426020,0.251
44421621,CHEMBL390094,0.2
44435044,CHEMBL239250,30.0
44448691,CHEMBL254153,1600.0
44448772,CHEMBL402805,79.0
44448775,CHEMBL254356,16.0
44448874,CHEMBL255460,6.0
44448876,CHEMBL255462,1.2
44448913,CHEMBL404289,40.0
44448947,CHEMBL257150,5.0
44448976,CHEMBL256721,5.0
44449004,CHEMBL257415,1.0
44449052,CHEMBL256988,3.0
44449053,CHEMBL256989,0.6
44449079,CHEMBL257171,0.4
44449106,CHEMBL255509,0.4
44449107,CHEMBL402520,2.0
44449136,CHEMBL402813,130.0
44449171,CHEMBL256937,8.0
44449202,CHEMBL258251,6.0
44449228,CHEMBL257767,2.0
44534504,CHEMBL480775,61.0
44534506,CHEMBL482258,1500.0
44534510,CHEMBL479993,230.0
44561123,CHEMBL527199,15.0
44561156,CHEMBL488635,2500.0
44561157,CHEMBL488642,20.0
44561195,CHEMBL452298,630.0
44561196,CHEMBL453074,13.0
44561197,CHEMBL453075,16.0
44561236,CHEMBL452808,630.0
44561237,CHEMBL499582,6.0
44561238,CHEMBL453067,3.0
44561239,CHEMBL453587,0.3
44561240,CHEMBL449192,3.0
44561276,CHEMBL453329,5.0
44568226,CHEMBL480170,350.0
44568309,CHEMBL518949,97.0
44568310,CHEMBL480778,108.0
44568339,CHEMBL480776,1000.0
44568368,CHEMBL482257,3500.0
44568369,CHEMBL482259,5.5
44568370,CHEMBL516606,44.0
44568398,CHEMBL479994,10.0
44568399,CHEMBL521418,15.0
44568400,CHEMBL481946,62.0
44568426,CHEMBL519629,36.0
44568427,CHEMBL482114,69.0
44568428,CHEMBL480165,42.0
44568429,CHEMBL518312,120.0
44568484,CHEMBL481964,380.0
44568526,CHEMBL517991,18.0
44574144,CHEMBL509604,0.794
44574145,CHEMBL448403,1.66
44574146,CHEMBL504097,0.282
44574147,CHEMBL501579,19.5
