cid,compound,aveaffinty
10114,CHEMBL230006,250.0
153999,CHEMBL91829,926.0
176167,CHEMBL300138,223.0
5287736,CHEMBL60254,21.0
5287969,CHEMBL428690,350.0
5327919,CHEMBL304549,60.0
5327920,CHEMBL67442,80.0
5327921,CHEMBL59828,4.0
5327922,CHEMBL52529,0.6
5327955,CHEMBL150422,3300.0
5328002,CHEMBL304626,16.0
5328003,CHEMBL307543,20.0
5328004,CHEMBL66750,40.0
5328005,CHEMBL68418,50.0
5328006,CHEMBL302304,50.0
5328007,CHEMBL304175,4.0
5328008,CHEMBL67528,14.0
5328012,CHEMBL66452,52.0
5328013,CHEMBL431568,260.0
9826373,CHEMBL55394,50.0
9889351,CHEMBL53596,50.0
9958125,CHEMBL300549,500.0
10030073,CHEMBL66923,144.666666667
10455969,CHEMBL292495,300.0
10460643,CHEMBL444877,35000.0
10527068,CHEMBL316239,240.0
10650891,CHEMBL315389,1900.0
10671412,CHEMBL311543,31.0
10673286,CHEMBL315357,1700.0
10768377,CHEMBL91959,2000.0
10768554,CHEMBL328229,2500.0
10864309,CHEMBL293805,8000.0
10940039,CHEMBL291975,42.0
11314340,CHEMBL379218,9.5
11453012,CHEMBL55788,200.0
11574614,CHEMBL206866,144.0
11729563,CHEMBL52654,40.0
11799388,CHEMBL419866,350.0
16725726,CHEMBL494089,2.2
22907281,CHEMBL301860,130.0
22911602,CHEMBL54382,40.0
24825721,CHEMBL467069,450.0
24905147,CHEMBL1241674,810.0
24996161,CHEMBL2147538,9.0
25113021,CHEMBL2147541,93.0
25113026,CHEMBL2147534,54.0
25113028,CHEMBL2147544,10.0
25113038,CHEMBL2147550,18.0
25113039,CHEMBL2147539,452.0
25113050,CHEMBL2147546,735.0
44299148,CHEMBL162,4.9
44308069,CHEMBL417051,2.0
44308383,CHEMBL67716,4.0
44308409,CHEMBL70078,10.0
44308467,CHEMBL67788,100.0
44308468,CHEMBL303205,830.0
44308469,CHEMBL302998,60.0
44308490,CHEMBL307747,22.0
44308609,CHEMBL306427,2.0
44308610,CHEMBL67290,3.0
44308611,CHEMBL421866,3.0
44308612,CHEMBL431955,20.0
44310732,CHEMBL311399,3.0
44385548,CHEMBL367488,260.0
44386181,CHEMBL427118,0.6
44386587,CHEMBL177635,4.0
46901859,CHEMBL1214929,5.0
46901862,CHEMBL1214932,6.0
49831650,CHEMBL1800956,640.0
53354074,CHEMBL2326002,3.5
56643505,CHEMBL2147537,2.0
59332810,CHEMBL2147548,60.0
68596931,CHEMBL2147543,13.0
68597337,CHEMBL2147542,4.0
68597501,CHEMBL2147545,188.0
68611347,CHEMBL2147536,82.0
70285522,CHEMBL2147549,862.0
71452928,CHEMBL2147535,27.0
71456431,CHEMBL2147532,401.0
71456432,CHEMBL2147540,34.0
71460129,CHEMBL2147551,15.0
71461845,CHEMBL2147531,743.0
71461847,CHEMBL2147552,52.0
71717270,CHEMBL2309006,140.0
