cid,compound,aveaffinty
10758004,CHEMBL131484,5.62
10760638,CHEMBL49876,4.695
10761258,CHEMBL295094,40.74
10761828,CHEMBL146557,646.0
10780510,CHEMBL129927,0.347
10780942,CHEMBL131396,4.37
10805355,CHEMBL132455,4.37
10824155,CHEMBL165022,3900.0
10827222,CHEMBL108463,676.08
10830557,CHEMBL140165,110.0
10831735,CHEMBL140594,2.1
10833953,CHEMBL140006,7.5
10851078,CHEMBL59103,25.0
10885636,CHEMBL326263,776.0
10894144,CHEMBL325258,1410.0
10905740,CHEMBL325945,6550.0
10948527,CHEMBL326962,947.0
10981761,CHEMBL325750,1880.0
11005810,CHEMBL116463,543.0
11035765,CHEMBL114280,429.0
11036641,CHEMBL140612,35.0
11057969,CHEMBL141845,0.67
11071079,CHEMBL325516,338.0
11077918,CHEMBL88937,1300.0
11113605,CHEMBL116735,716.0
11151920,CHEMBL212903,32.1
11164276,CHEMBL211732,110.0
11185987,CHEMBL214314,25.4
11199162,CHEMBL212235,38.2
11200205,CHEMBL378324,6.4
11211058,CHEMBL214247,113.0
11221906,CHEMBL212444,27.5
11230330,CHEMBL372020,4870.0
11256262,CHEMBL212782,38.0
11324794,CHEMBL377050,22.8
11325334,CHEMBL212969,14.2
11335419,CHEMBL187367,1261.0
11336814,CHEMBL213164,6.4
11351639,CHEMBL175734,1770.0
11356479,CHEMBL196928,829.0
11370781,CHEMBL212291,130.0
11375068,CHEMBL414838,520.0
11408148,CHEMBL366904,1070.0
11451703,CHEMBL378576,71.2
11452692,CHEMBL1688991,804.0
11477180,CHEMBL180010,375.0
11504230,CHEMBL210567,7.45
11516033,CHEMBL378680,1.4
11517928,CHEMBL207543,120.0
11522476,CHEMBL202924,2514.0
11545813,CHEMBL476109,41.8
11558055,CHEMBL201170,11.3
11559581,CHEMBL211135,2.0
11559589,CHEMBL360424,3.0
11560697,CHEMBL1170095,840.0
11566744,CHEMBL1202298,165.0
11574902,CHEMBL211164,0.25
11575799,CHEMBL210341,0.99
11581237,CHEMBL378515,1.6
11583188,CHEMBL379125,0.33
11615489,CHEMBL193337,879.0
11615782,CHEMBL198125,16000.0
11624518,CHEMBL597601,170.0
11626748,CHEMBL380287,1900.0
11630058,CHEMBL383805,90000.0
11631892,CHEMBL210283,1.3
11633170,CHEMBL211118,2.3
11637457,CHEMBL201093,299.0
11638780,CHEMBL207488,4.0
11646648,CHEMBL247058,567.0
11652518,CHEMBL425064,2800.0
11653679,CHEMBL476108,6.6
11655570,CHEMBL211590,0.53
11658914,CHEMBL194099,3300.0
11659604,CHEMBL377542,500.0
11661609,CHEMBL211539,0.99
11668034,CHEMBL370823,5.0
11676174,CHEMBL199824,8.5
11676195,CHEMBL550222,32.815
11676873,CHEMBL110365,425.0
11678172,CHEMBL209876,33.0
11681599,CHEMBL203637,18.7
11682812,CHEMBL210551,1.6
11689612,CHEMBL212160,0.94
11694483,CHEMBL198174,14000.0
11696910,CHEMBL209034,1.3
11697270,CHEMBL208274,0.84
11699469,CHEMBL208847,140.0
11706497,CHEMBL210461,120.0
11708363,CHEMBL197159,13000.0
11716449,CHEMBL382850,378.5
11720302,CHEMBL426863,18.0
11724450,CHEMBL362542,8.6
11725909,CHEMBL71216,10.0
11726532,CHEMBL26677,1.7
11730467,CHEMBL117537,280.0
11739255,CHEMBL212861,8.0
11742798,CHEMBL26758,19.0
11771801,CHEMBL212891,2050.0
11772112,CHEMBL437687,11.4
11772242,CHEMBL427048,53.3
11772767,CHEMBL212784,13.5
11776546,CHEMBL64508,80.6
11778580,CHEMBL184050,375.0
11794570,CHEMBL58296,44.0
11849181,CHEMBL213004,346.0
11849182,CHEMBL212288,120.0
11849229,CHEMBL376955,88.0
11849266,CHEMBL215450,11.6
11849267,CHEMBL212292,67.1
11849268,CHEMBL437532,90.0
11849736,CHEMBL377388,168.0
11849775,CHEMBL426510,13.9
11849776,CHEMBL211836,20.1
11849778,CHEMBL215705,6.3
11849816,CHEMBL210101,134.0
11849821,CHEMBL441529,150.0
11957730,CHEMBL64119,1.26
11983282,CHEMBL378455,0.59
13091268,CHEMBL210578,5.3
13091273,CHEMBL478617,19.2
13373172,CHEMBL593897,5092.0
15508238,CHEMBL104092,3300.0
15508240,CHEMBL325104,940.0
15508242,CHEMBL422959,960.0
15508243,CHEMBL106635,1500.0
15840856,CHEMBL285577,8.0
16007117,CHEMBL212912,870.0
16090814,CHEMBL216258,98.4
16090821,CHEMBL216439,184.0
16094676,CHEMBL219182,1445.0
16094677,CHEMBL219185,294.0
16094681,CHEMBL219261,405.0
16094698,CHEMBL376092,1.3
16094699,CHEMBL216794,32.0
16105553,CHEMBL221652,28.0
16105555,CHEMBL221640,34.0
16744003,CHEMBL243225,225.0
16744004,CHEMBL243012,426.0
16744005,CHEMBL390181,483.0
16744171,CHEMBL243224,507.0
17449900,CHEMBL379602,0.28
17469721,CHEMBL209832,310.0
17475863,CHEMBL437490,2.9
18414156,CHEMBL315864,14.4
21462964,CHEMBL155207,1.8
21462980,CHEMBL154286,7.0
22065962,CHEMBL460644,56.0
22100932,CHEMBL70215,21.0
22100933,CHEMBL71324,26.0
22100940,CHEMBL69355,5.0
22100943,CHEMBL307869,8.1
22100957,CHEMBL71208,8.4
22100962,CHEMBL71209,44.0
22100964,CHEMBL69356,17.0
22100965,CHEMBL67982,87.0
22100968,CHEMBL70267,97.0
22100970,CHEMBL305481,68.0
23290944,CHEMBL2164350,946.0
25139180,CHEMBL484357,3100.0
25139181,CHEMBL484358,4.3
25139329,CHEMBL491466,1100.0
25139331,CHEMBL444128,6100.0
25139332,CHEMBL484204,1400.0
25139335,CHEMBL484203,100.0
25139479,CHEMBL484202,190.0
25139481,CHEMBL485227,670.0
25141533,CHEMBL242218,1230.0
25141534,CHEMBL1627305,4900.0
25141535,CHEMBL1627308,1920.0
25141538,CHEMBL1627311,967.0
25142456,CHEMBL217299,90.0
25333445,CHEMBL210318,20.0
30982708,CHEMBL1170683,652.0
41532205,CHEMBL210717,0.7
42625293,CHEMBL1627319,1290.0
42625295,CHEMBL1627321,1040.0
42626103,CHEMBL1627323,640.0
42626313,CHEMBL1627317,2140.0
42626317,CHEMBL1627322,176.0
42626318,CHEMBL1627306,3430.0
42626380,CHEMBL1627313,455.0
42626381,CHEMBL1627315,1530.0
44123782,CHEMBL514747,69.0
44192200,CHEMBL551964,1418.0
44214764,CHEMBL187804,17.0
44214765,CHEMBL424808,24.0
44214766,CHEMBL187236,3.0
44214767,CHEMBL187122,2.0
44222483,CHEMBL561763,10.4
44222488,CHEMBL561622,46.0
44276155,CHEMBL283211,49.0
44276170,CHEMBL26135,43.0
44300865,CHEMBL60815,12.0
44309688,CHEMBL69571,363.0
44309775,CHEMBL304605,1020.0
44316529,CHEMBL309858,188.0
44316873,CHEMBL80645,19.0
44316892,CHEMBL80627,50.0
44316894,CHEMBL310311,21.0
44316918,CHEMBL309843,161.0
44317165,CHEMBL80655,107.0
44317199,CHEMBL412665,18.0
44317200,CHEMBL80711,3.0
44319102,CHEMBL86060,375.0
44319361,CHEMBL82527,1500.0
44319368,CHEMBL313320,995.0
44319369,CHEMBL83306,570.0
44319370,CHEMBL315564,1795.0
44323762,CHEMBL88837,47.0
44323763,CHEMBL88289,2.9
44323780,CHEMBL330108,8.8
44323962,CHEMBL90476,2.6
44323978,CHEMBL311539,1.7
44326256,CHEMBL433002,55.0
44336061,CHEMBL320597,2.0
44336552,CHEMBL326864,280.0
44336571,CHEMBL104201,230.0
44342270,CHEMBL114484,1690.0
44350664,CHEMBL340816,176.8
44370009,CHEMBL156896,59.0
44370032,CHEMBL154482,30.0
44370047,CHEMBL347155,11.7
44370058,CHEMBL347291,26.0
44374827,CHEMBL345438,10.0
44374863,CHEMBL351989,12.0
44393372,CHEMBL184993,42.0
44393393,CHEMBL362101,130.0
44393403,CHEMBL182379,190.5
44393411,CHEMBL183871,550.0
44393415,CHEMBL182652,31.0
44393658,CHEMBL363308,174.5
44393737,CHEMBL183466,524.75
44393775,CHEMBL184853,34.1
44393778,CHEMBL184158,4.0
44394590,CHEMBL366304,18.0
44394599,CHEMBL184551,36.0
44394618,CHEMBL184388,8.0
44394629,CHEMBL183160,17.0
44394636,CHEMBL186558,24.0
44394666,CHEMBL364782,2.0
44394667,CHEMBL187113,3.4
44394675,CHEMBL427522,70.0
44394742,CHEMBL426062,2.0
44394743,CHEMBL361035,1.5
44394820,CHEMBL182075,17.0
44394884,CHEMBL360394,4.0
44395709,CHEMBL456429,789.0
44395711,CHEMBL456430,1015.0
44395741,CHEMBL476935,17.25
44396220,CHEMBL364565,4476.0
44396235,CHEMBL435505,1428.0
44403210,CHEMBL194727,34.0
44403213,CHEMBL196744,44.0
44403214,CHEMBL198993,130.0
44403219,CHEMBL197162,100.0
44403220,CHEMBL197214,76.0
44403224,CHEMBL197195,97.0
44403225,CHEMBL194755,9.9
44403232,CHEMBL195247,17.0
44405414,CHEMBL196866,33.0
44405445,CHEMBL373032,52.0
44405451,CHEMBL372770,22.0
44405452,CHEMBL199186,15.0
44405455,CHEMBL198580,14.0
44405466,CHEMBL427555,14.0
44405469,CHEMBL197381,16.0
44405489,CHEMBL370134,14.0
44405490,CHEMBL370652,21.0
44405492,CHEMBL381019,4.0
44405522,CHEMBL197225,7.0
44405530,CHEMBL383383,78.0
44408818,CHEMBL380330,43.4
44412182,CHEMBL208018,1.0
44412191,CHEMBL377200,5.3
44412268,CHEMBL211026,9.9
44412269,CHEMBL210232,2.7
44412458,CHEMBL379177,3.2
44412468,CHEMBL425057,2.6
44412482,CHEMBL210404,0.44
44412494,CHEMBL210955,2.9
44415569,CHEMBL425069,1810.0
44415593,CHEMBL213834,977.0
44415672,CHEMBL213492,2000.0
44415689,CHEMBL378669,808.0
44415690,CHEMBL213336,1870.0
44415704,CHEMBL213424,4846.0
44427827,CHEMBL244990,4620.0
44427831,CHEMBL242644,1490.0
44427842,CHEMBL394863,1460.0
44438186,CHEMBL392822,2820.0
44438197,CHEMBL397770,1550.0
44438199,CHEMBL396092,3540.0
44438201,CHEMBL246637,1100.0
44438203,CHEMBL246848,3750.0
44438204,CHEMBL246849,6090.0
44438206,CHEMBL392823,1360.0
44438208,CHEMBL245614,679.0
44438209,CHEMBL398368,1490.0
44438210,CHEMBL245615,129.0
44438211,CHEMBL393027,3870.0
44438213,CHEMBL245815,3930.0
44438215,CHEMBL245816,2440.0
44438218,CHEMBL246020,2750.0
44438219,CHEMBL430198,2293.0
44438220,CHEMBL246021,348.0
44438221,CHEMBL394065,365.0
44438222,CHEMBL246230,2270.0
44438223,CHEMBL246231,3930.0
44438224,CHEMBL399396,3520.0
44438226,CHEMBL399601,4450.0
44438227,CHEMBL246437,1940.0
44438228,CHEMBL246438,34.1
44438229,CHEMBL400826,1190.0
44438230,CHEMBL246439,2990.0
44438231,CHEMBL246642,677.0
44438232,CHEMBL394066,2146.0
44438233,CHEMBL246643,167.0
44438234,CHEMBL246644,404.0
44438235,CHEMBL246854,153.0
44438236,CHEMBL400827,5140.0
44438237,CHEMBL246855,8890.0
44438239,CHEMBL401031,319.0
44447073,CHEMBL251835,77.62
44455426,CHEMBL402143,544.0
44578445,CHEMBL476933,2100.0
44578446,CHEMBL476934,520.0
44582675,CHEMBL515472,442.0
44582676,CHEMBL516088,174.0
44582678,CHEMBL476839,2708.0
44582705,CHEMBL490632,923.0
44591042,CHEMBL460854,277.5
44591043,CHEMBL460855,816.5
44591045,CHEMBL460223,18.6
44591086,CHEMBL514590,7873.0
44591087,CHEMBL458342,583.7
44591088,CHEMBL514591,513.0
44591089,CHEMBL513776,1213.0
44593530,CHEMBL495129,3007.0
45260774,CHEMBL544296,125.0
45264662,CHEMBL541826,52.0
45273045,CHEMBL562620,1.75
46227273,CHEMBL594127,6644.0
46227317,CHEMBL596448,2565.0
49798879,CHEMBL1170096,700.0
51003551,CHEMBL1642123,5522.0
51354562,CHEMBL1689002,890.0
51354849,CHEMBL1689009,890.0
51354850,CHEMBL1688994,2100.0
51354854,CHEMBL1689004,990.0
51355144,CHEMBL1689006,246.0
51355423,CHEMBL1689012,182.0
53248159,CHEMBL1774384,3090.0
53248209,CHEMBL1774386,5340.0
53248212,CHEMBL1774534,1490.0
53248213,CHEMBL1774535,3360.0
53248256,CHEMBL1774536,3180.0
53248672,CHEMBL1813591,185.0
53248674,CHEMBL1813594,30.1
53248676,CHEMBL1813595,31.9
53320009,CHEMBL1642116,3613.0
53320010,CHEMBL1642117,1789.0
53321932,CHEMBL1628577,1.0
53325348,CHEMBL1688992,1400.0
53326601,CHEMBL1688990,896.0
