cid,compound,aveaffinty
5291,CHEMBL941,5200.0
123631,CHEMBL939,1550.0
156422,CHEMBL103667,6.45
176155,CHEMBL10,3741.66666667
176870,CHEMBL553,3000.0
216239,CHEMBL1336,5500.0
294348,CHEMBL2000337,26850.0
298930,CHEMBL1492532,7700.0
322479,CHEMBL2151190,700.0
331326,CHEMBL2151193,31250.0
338287,CHEMBL1980140,2500.0
381376,CHEMBL1981814,2200.0
391320,CHEMBL2151285,17250.0
391323,CHEMBL2151286,11650.0
644241,CHEMBL255863,5800.0
766949,CHEMBL233001,316.23
5327067,CHEMBL203567,5000.0
5329102,CHEMBL535,2400.0
5353940,CHEMBL278041,165.0
5703619,CHEMBL2347053,5028.0
6079641,CHEMBL1969923,1165.0
6540289,CHEMBL207228,3100.0
6852206,CHEMBL382639,160.0
9553856,CHEMBL1189513,13500.0
9819930,CHEMBL22978,8088.0
9826083,CHEMBL120185,47.0
9892736,CHEMBL383955,650.0
9958506,CHEMBL259060,72.0
10005638,CHEMBL118258,4660.0
10138259,CHEMBL1721885,3300.0
10184653,CHEMBL1173655,2100.0
10390073,CHEMBL2111784,261.0
11213558,CHEMBL475251,47.0
11409972,CHEMBL574738,56.0
11422035,CHEMBL191384,2610.0
11427553,CHEMBL1908397,230.0
11485656,CHEMBL223360,240.0
11493316,CHEMBL208558,740.0
11499625,CHEMBL378931,470.0
11500561,CHEMBL208447,790.0
11507052,CHEMBL378980,4663.0
11514465,CHEMBL210222,3500.0
11516913,CHEMBL209505,100.0
11517688,CHEMBL370808,8300.0
11539329,CHEMBL210963,150.0
11543503,CHEMBL210307,4900.0
11544489,CHEMBL209292,610.0
11551231,CHEMBL425413,3400.0
11553156,CHEMBL209669,180.0
11558435,CHEMBL210861,770.0
11558900,CHEMBL209291,310.0
11559766,CHEMBL210462,240.0
11564900,CHEMBL209136,3000.0
11565848,CHEMBL210737,5100.0
11568224,CHEMBL200820,100000.0
11580158,CHEMBL209299,6300.0
11587896,CHEMBL210655,260.0
11589125,CHEMBL211009,270.0
11589163,CHEMBL377578,130.0
11590363,CHEMBL210928,70.0
11600899,CHEMBL210363,4500.0
11601246,CHEMBL209082,8400.0
11602023,CHEMBL209192,360.0
11602291,CHEMBL426134,274.0
11609198,CHEMBL208877,1200.0
11615890,CHEMBL378499,690.0
11624601,CHEMBL210618,82.0
11640926,CHEMBL378627,64.0
11647280,CHEMBL209769,26.0
11651832,CHEMBL377348,2900.0
11658882,CHEMBL210032,7700.0
11666890,CHEMBL209770,640.0
11667089,CHEMBL210586,900.0
11674342,CHEMBL377201,4900.0
11695458,CHEMBL383308,740.0
11697773,CHEMBL380152,740.0
11715520,CHEMBL208637,1100.0
11846124,CHEMBL424872,120.0
11846125,CHEMBL377408,53.0
11846126,CHEMBL209534,41.0
11846287,CHEMBL211584,11.0
11846458,CHEMBL211605,610.0
11846459,CHEMBL214212,120.0
11846461,CHEMBL211195,190.0
11955790,CHEMBL234655,37.0
11992146,CHEMBL226471,21000.0
12310041,CHEMBL2151191,2350.0
12723726,CHEMBL2204103,9300.0
15991561,CHEMBL232599,5011.87
16007116,CHEMBL377383,74.0
16038120,CHEMBL509032,280.0
16086114,CHEMBL215943,173.0
16664858,CHEMBL232601,316.23
16722836,CHEMBL1287853,240.0
17755052,CHEMBL521851,1800.0
23647201,CHEMBL207400,3000.0
23647237,CHEMBL439323,68.0
23647238,CHEMBL209397,4400.0
25104303,CHEMBL2152382,170.0
25119432,CHEMBL2204094,176.0
25181985,CHEMBL2204113,28.0
25182113,CHEMBL2204108,50.0
25182616,CHEMBL464552,520.0
44138048,CHEMBL1087421,794.33
44138049,CHEMBL1088633,1258.93
44299148,CHEMBL162,1005.0
44346053,CHEMBL121405,30.0
54760383,CHEMBL2178352,1500.0
57399640,CHEMBL1908393,670.0
59846155,CHEMBL2204105,960.0
59846164,CHEMBL2204097,900.0
59846170,CHEMBL2204096,140.0
59846186,CHEMBL2204111,219.0
59846188,CHEMBL2204109,70.0
59846192,CHEMBL2204098,1310.0
59846211,CHEMBL2204095,507.0
59846214,CHEMBL2204093,220.0
59846217,CHEMBL2204099,535.0
59846262,CHEMBL2204110,200.0
59846267,CHEMBL2204106,170.0
59846277,CHEMBL2204107,94.0
59846284,CHEMBL2208438,32.0
66816803,CHEMBL2204112,64.0
71452229,CHEMBL2204104,3800.0
71452991,CHEMBL2151192,36000.0
71454040,CHEMBL2204114,87.0
71457558,CHEMBL2204100,190.0
71461189,CHEMBL2204101,290.0
71717270,CHEMBL2309006,320.0
71720177,CHEMBL2348581,2180.0
