cid,compound,aveaffinty
42723,CHEMBL16699,500.0
91643,CHEMBL26559,400.0
216239,CHEMBL1336,5050.0
447077,CHEMBL386051,47.0
3062316,CHEMBL1421,3900.0
3068873,CHEMBL55137,1400.0
3081361,CHEMBL24828,2913.33333333
5329102,CHEMBL535,663.333333333
5330790,CHEMBL191003,600.0
5494449,CHEMBL572878,840.0
5703619,CHEMBL2347053,25.0
6450551,CHEMBL1289926,210.0
9809715,CHEMBL502835,108.0
9933475,CHEMBL491473,29.0
9977819,CHEMBL522892,300.0
10113978,CHEMBL477772,680.0
10138259,CHEMBL1721885,470.0
10461815,CHEMBL450786,5200.0
11213558,CHEMBL475251,61.5
11234052,CHEMBL377300,155.0
11409972,CHEMBL574738,3450.0
11427553,CHEMBL1908397,740.0
11626560,CHEMBL601719,3100.0
11712649,CHEMBL259084,1250.0
11751922,CHEMBL2010872,89.0
16038120,CHEMBL509032,107.5
16722836,CHEMBL1287853,560.0
24905147,CHEMBL1241674,715.0
44137946,CHEMBL1822792,50.0
44299148,CHEMBL162,169.333333333
46864270,CHEMBL1784637,10.5
53232451,CHEMBL1774056,115.0
57397989,CHEMBL1908392,116.5
57399640,CHEMBL1908393,1255.0
71717270,CHEMBL2309006,655.0
