cid,compound,aveaffinty
123631,CHEMBL939,1500.0
3025986,CHEMBL296468,2900.0
3038522,CHEMBL124660,730.0
5329102,CHEMBL535,940.0
5330790,CHEMBL191003,3400.0
5494449,CHEMBL572878,5600.0
9869779,CHEMBL1908396,2300.0
10113978,CHEMBL477772,800.0
10138259,CHEMBL1721885,1900.0
10461815,CHEMBL450786,610.0
11213558,CHEMBL475251,11.0
11427553,CHEMBL1908397,240.0
11626560,CHEMBL601719,31.0
11712649,CHEMBL259084,1400.0
15983966,CHEMBL1908394,3500.0
16007391,CHEMBL215152,7900.0
16038120,CHEMBL509032,160.0
16722836,CHEMBL1287853,120.0
17755052,CHEMBL521851,1700.0
24905147,CHEMBL1241674,1000.0
44299148,CHEMBL162,13.0
57397989,CHEMBL1908392,5300.0
57399640,CHEMBL1908393,370.0
71717270,CHEMBL2309006,16.0
