cid,compound,aveaffinty
59751,CHEMBL39263,169.0
122130,CHEMBL115121,0.0631
132190,CHEMBL352949,31.62
132980,CHEMBL420783,0.1
163781,CHEMBL414345,3688.0
3086453,CHEMBL384035,0.2
5311201,CHEMBL9387,15.5
9811733,CHEMBL218763,15.0
9833444,CHEMBL1121,0.461
9850043,CHEMBL330977,0.501
9850638,CHEMBL1628621,0.501
9898185,CHEMBL407057,2.1
10071178,CHEMBL202861,22000.0
10507071,CHEMBL332261,6025.0
10909103,CHEMBL262172,150.0
10942040,CHEMBL218327,1.1
11040230,CHEMBL382349,1.6
11051303,CHEMBL382051,26.0
11061906,CHEMBL336381,4.8
11136782,CHEMBL379405,1700.0
11520765,CHEMBL383458,2700.0
11528076,CHEMBL408330,3.8
11556976,CHEMBL206974,1.5
11564210,CHEMBL208479,15.0
11614928,CHEMBL408083,1100.0
11629355,CHEMBL382409,0.22
11693225,CHEMBL583344,25.12
11693641,CHEMBL205965,2.7
11700410,CHEMBL583035,5.01
11722088,CHEMBL205306,2200.0
16100406,CHEMBL218600,1100.0
16100407,CHEMBL217957,71.0
16100410,CHEMBL386212,7700.0
44215880,CHEMBL1933100,15300.0
44318324,CHEMBL83942,0.2
44333048,CHEMBL441165,13.0
44333049,CHEMBL274661,2.0
44333078,CHEMBL386811,210.0
44381358,CHEMBL262894,0.15
44396655,CHEMBL359589,0.96
44396745,CHEMBL364334,723.0
44396746,CHEMBL365620,1610.0
44403829,CHEMBL196143,213.0
44408411,CHEMBL412331,1700.0
44408483,CHEMBL438739,930.0
44408484,CHEMBL375412,9300.0
44408524,CHEMBL405192,3800.0
44408525,CHEMBL442483,1300.0
44408526,CHEMBL374325,1500.0
44408632,CHEMBL408832,560.0
44418924,CHEMBL407198,9300.0
44572147,CHEMBL515288,269.99
44572148,CHEMBL475226,1.0
45102806,CHEMBL565324,10.0
45255234,CHEMBL585914,15.85
45486935,CHEMBL565298,10.0
45486936,CHEMBL566574,6.31
45486947,CHEMBL566177,251.19
45486964,CHEMBL569391,10.0
45486976,CHEMBL585157,6.31
45486985,CHEMBL571650,5.01
45487002,CHEMBL570520,12.59
45487006,CHEMBL584525,10.0
49798104,CHEMBL1172244,142.945
49798106,CHEMBL1172246,965.0
49798109,CHEMBL1172249,112.945
49798111,CHEMBL1172251,24.81
49798112,CHEMBL1172252,122.945
49798113,CHEMBL1172253,117.945
49798114,CHEMBL1172428,189.765
49798115,CHEMBL1172429,194.765
49798148,CHEMBL1171596,62.05
52950956,CHEMBL1806526,0.6
52950958,CHEMBL1806527,0.8
52951093,CHEMBL1806528,3.6
52951227,CHEMBL1806530,1.6
52951333,CHEMBL1806531,2.4
52951789,CHEMBL1806532,2.4
52952034,CHEMBL1807151,0.9
53320643,CHEMBL1628582,0.25
53465843,CHEMBL1933103,1000.0
53465844,CHEMBL1933104,1000.0
56663037,CHEMBL1806529,4.8
56663263,CHEMBL1807150,2.5
56666696,CHEMBL1807149,3.4
56683899,CHEMBL1806772,0.7
70684476,CHEMBL2067982,2.0
73345199,CHEMBL385918,1400.0
73346731,CHEMBL216079,75.0
73346732,CHEMBL444113,1500.0
73349806,CHEMBL262155,65.0
73349808,CHEMBL414180,1800.0
73351326,CHEMBL217234,190.0
73351327,CHEMBL217424,250.0
73354298,CHEMBL263876,1100.0
