cid,compound,aveaffinty
622064,CHEMBL2030375,2000.0
5423175,CHEMBL501724,1.4
11149390,CHEMBL1203954,20.0
11185393,CHEMBL254390,178.0
11207259,CHEMBL459284,6.0
11210036,CHEMBL522578,19.0
11266364,CHEMBL495556,64.0
11267154,CHEMBL249254,220.0
11267850,CHEMBL401396,7.0
11300082,CHEMBL402272,7.0
11311779,CHEMBL522717,12.0
11347930,CHEMBL251472,655.0
11357740,CHEMBL445340,6.0
11380404,CHEMBL495757,2.0
11402137,CHEMBL399492,2.0
11404817,CHEMBL400596,262.0
11425051,CHEMBL495750,26.0
11425728,CHEMBL251283,259.0
11483024,CHEMBL495953,8.0
11483025,CHEMBL251469,636.0
11500189,CHEMBL449372,5.0
11514482,CHEMBL398261,45.0
11557879,CHEMBL253760,14.0
11630374,CHEMBL253545,9.0
11630500,CHEMBL459285,3.0
11658652,CHEMBL495947,10.0
11715767,CHEMBL225519,10.0
11716463,CHEMBL459283,6.0
16202187,CHEMBL495539,44.0
16720432,CHEMBL226232,147.0
16757525,CHEMBL524266,2.0
19754146,CHEMBL2348176,4700.0
23582514,CHEMBL496560,12.0
23582519,CHEMBL498200,11.0
23582592,CHEMBL443669,3.0
23582657,CHEMBL451213,4.0
23585099,CHEMBL250871,3300.0
23585102,CHEMBL250870,67.0
23585103,CHEMBL248174,160.0
23585146,CHEMBL398626,88.0
23585147,CHEMBL430021,5.0
23585148,CHEMBL248853,8.0
23585149,CHEMBL400271,47.0
23585151,CHEMBL398627,12.0
23585152,CHEMBL251247,23.0
23585193,CHEMBL400270,13.0
23585194,CHEMBL250884,138.0
23585198,CHEMBL250062,3.0
23585200,CHEMBL251246,42.0
23585244,CHEMBL250061,4.0
23585245,CHEMBL252724,404.0
23585248,CHEMBL400475,120.0
23585295,CHEMBL398833,14.0
24771196,CHEMBL250693,27.0
24776678,CHEMBL254597,28.0
24776679,CHEMBL253768,4.0
24776789,CHEMBL398521,863.0
24776790,CHEMBL249646,1397.0
24778303,CHEMBL250692,201.0
24778304,CHEMBL250869,158.0
24778425,CHEMBL250453,323.0
25190881,CHEMBL449148,13.0
25190882,CHEMBL444154,6.0
25190883,CHEMBL525775,5.0
25190884,CHEMBL496772,3.0
25190885,CHEMBL496773,32.0
25190887,CHEMBL523902,11.0
25190888,CHEMBL513429,10.0
25190889,CHEMBL509776,3.0
25190890,CHEMBL447369,2.0
25190891,CHEMBL512744,20.0
25190892,CHEMBL526092,4.5
25190893,CHEMBL497995,6.0
25190894,CHEMBL498207,7.0
25190895,CHEMBL522398,24.0
25190896,CHEMBL451570,5.0
25190898,CHEMBL250691,210.0
25190899,CHEMBL251282,290.0
25194016,CHEMBL522890,52.0
42642092,CHEMBL2030389,178.35
44229585,CHEMBL2030391,13.0
44229658,CHEMBL2030388,207.0
44229659,CHEMBL2030387,317.5
44229995,CHEMBL2030399,224.55
44580795,CHEMBL496961,2.0
49843482,CHEMBL2322677,0.9
56965946,CHEMBL2030376,739.35
57392258,CHEMBL1958408,0.28
57899487,CHEMBL2030392,1271.85
57899488,CHEMBL2030386,905.25
57899565,CHEMBL2030378,2200.0
57899616,CHEMBL2030390,186.5
57899632,CHEMBL2030396,720.1
57899635,CHEMBL2030395,1185.5
57899666,CHEMBL2030382,14000.0
57899701,CHEMBL2030401,288.5
57899708,CHEMBL2030405,147.95
57899800,CHEMBL2030379,9000.0
57899837,CHEMBL2030404,85.5
57899853,CHEMBL2030397,440.95
57899859,CHEMBL2030403,690.05
57899860,CHEMBL2030394,2331.0
57899868,CHEMBL2030393,39.9
57899888,CHEMBL2030400,42.85
57899889,CHEMBL2030402,87.1333333333
57899934,CHEMBL2030398,404.65
66887486,CHEMBL2322674,1.4
66888114,CHEMBL2322675,5.5
66888175,CHEMBL2322679,13.0
66888458,CHEMBL2322681,27.0
66888604,CHEMBL2322673,7.7
66888945,CHEMBL2322676,67.0
66888952,CHEMBL2322678,8.7
66900677,CHEMBL2322680,15.0
67186230,CHEMBL2030383,1000.0
68388345,CHEMBL2348175,156.0
68388404,CHEMBL2334964,66.0
71527115,CHEMBL2322682,3.2
71527116,CHEMBL2322683,1.7
71527117,CHEMBL2322684,3.4
71553522,CHEMBL2348153,689.5
71560541,CHEMBL2334965,350.0
71580632,CHEMBL2334966,2537.5
71580633,CHEMBL2348182,25.0
71580634,CHEMBL2348181,10400.0
71580635,CHEMBL2348180,9000.0
71580636,CHEMBL2348178,2700.0
71580637,CHEMBL2348179,8800.0
71580638,CHEMBL2348177,1500.0
71580737,CHEMBL2348174,82.0
71580738,CHEMBL2348172,1100.0
71580739,CHEMBL2348173,3300.0
71580740,CHEMBL2348171,760.0
71580741,CHEMBL2348169,8500.0
71580742,CHEMBL2348170,26700.0
71580743,CHEMBL2348167,930.0
71580744,CHEMBL2348168,980.0
71580745,CHEMBL2348165,12600.0
71580746,CHEMBL2348166,1240.0
71580828,CHEMBL2346665,360.0
71580829,CHEMBL2348163,5300.0
71580830,CHEMBL2348164,104.0
71580831,CHEMBL2348162,160.0
71580832,CHEMBL2348161,250.0
71580833,CHEMBL2348159,580.0
71580834,CHEMBL2348160,120.0
71580835,CHEMBL2348158,160.0
71580913,CHEMBL2348156,11.0
71580914,CHEMBL2348157,160.0
71580915,CHEMBL2348155,330.0
71580916,CHEMBL2348154,428.5
71580917,CHEMBL2348152,1165.0
