protein	compound	aveaffinty
CHEMBL2525	CHEMBL2177904	790
CHEMBL2525	CHEMBL567053	5160
CHEMBL2525	CHEMBL2347201	18
CHEMBL2525	CHEMBL567258	2480
CHEMBL2525	CHEMBL2177917	1700
CHEMBL2525	CHEMBL2012001	7.8
CHEMBL2525	CHEMBL2152903	7.5
CHEMBL2525	CHEMBL2347198	101
CHEMBL2525	CHEMBL2180033	110
CHEMBL2525	CHEMBL403819	3500
CHEMBL2525	CHEMBL2180037	30
CHEMBL2581	CHEMBL490305	1700
CHEMBL2581	CHEMBL253800	67
CHEMBL2581	CHEMBL371417	1.6
CHEMBL2581	CHEMBL2047891	4160
CHEMBL2581	CHEMBL2349487	11844
CHEMBL2581	CHEMBL191487	4940
CHEMBL2581	CHEMBL2349464	48603
CHEMBL2581	CHEMBL2349489	44161
CHEMBL2581	CHEMBL461606	370
CHEMBL2581	CHEMBL112598	4.9
CHEMBL2581	CHEMBL231522	2
CHEMBL2581	CHEMBL567430	2400
CHEMBL2581	CHEMBL564010	1400
CHEMBL2581	CHEMBL378897	190
CHEMBL2581	CHEMBL566968	9600
CHEMBL2581	CHEMBL211152	9700
CHEMBL2581	CHEMBL2349504	1606
CHEMBL2581	CHEMBL211384	190
CHEMBL2581	CHEMBL558488	1
CHEMBL2581	CHEMBL461602	8100
CHEMBL2581	CHEMBL1076902	210
CHEMBL2581	CHEMBL1941015	21200
CHEMBL2581	CHEMBL2349465	29540
CHEMBL2581	CHEMBL566007	38180
CHEMBL2581	CHEMBL2047889	340
CHEMBL2581	CHEMBL387771	41
CHEMBL2581	CHEMBL1941014	14200
CHEMBL2581	CHEMBL2349612	735
CHEMBL2581	CHEMBL566977	52500
CHEMBL2581	CHEMBL2349611	4368
CHEMBL2581	CHEMBL116	15200
CHEMBL2581	CHEMBL113208	21
CHEMBL2581	CHEMBL2349484	420
CHEMBL2581	CHEMBL566223	5200
CHEMBL2581	CHEMBL437961	6042
CHEMBL2581	CHEMBL2349479	3072
CHEMBL2581	CHEMBL2349480	10144
CHEMBL2581	CHEMBL2349477	404
CHEMBL2581	CHEMBL253165	4880
CHEMBL2581	CHEMBL566112	10700
CHEMBL2581	CHEMBL379824	1110
CHEMBL2581	CHEMBL404394	9
CHEMBL2581	CHEMBL2349610	97740
CHEMBL2581	CHEMBL242315	28
CHEMBL2581	CHEMBL2047892	7990
CHEMBL2581	CHEMBL2047890	720
CHEMBL2581	CHEMBL568960	11300
CHEMBL2581	CHEMBL565914	10800
CHEMBL2581	CHEMBL567654	47400
CHEMBL2581	CHEMBL363286	3.9
CHEMBL2581	CHEMBL2349472	477
CHEMBL2581	CHEMBL566407	10100
CHEMBL2581	CHEMBL2349467	1717
CHEMBL2581	CHEMBL211499	460
CHEMBL2581	CHEMBL212357	195
CHEMBL2581	CHEMBL1941008	39200
CHEMBL2581	CHEMBL2349607	14704
CHEMBL2581	CHEMBL387984	633
CHEMBL2581	CHEMBL376504	245
CHEMBL2581	CHEMBL252549	7593
CHEMBL2581	CHEMBL566638	8300
CHEMBL2581	CHEMBL2349501	8611
CHEMBL2581	CHEMBL2349606	6760
CHEMBL2581	CHEMBL190290	32
CHEMBL2581	CHEMBL2349474	603
CHEMBL2581	CHEMBL1941007	31900
CHEMBL2581	CHEMBL2349481	9034
CHEMBL2581	CHEMBL2349608	2829
CHEMBL2581	CHEMBL2349473	624
CHEMBL2581	CHEMBL213830	1250
CHEMBL2581	CHEMBL567687	12200
CHEMBL2581	CHEMBL2179136	7100
CHEMBL2581	CHEMBL209795	260
CHEMBL2581	CHEMBL2349475	1894
CHEMBL2581	CHEMBL2349478	1665
CHEMBL2581	CHEMBL2047888	2520
CHEMBL2581	CHEMBL371082	1440
CHEMBL2581	CHEMBL1615184	6400
