protein	compound	aveaffinty
CHEMBL1908	CHEMBL2333328	156.3
CHEMBL1908	CHEMBL1440486	816
CHEMBL1908	CHEMBL523196	640
CHEMBL1908	CHEMBL1645407	14300
CHEMBL1908	CHEMBL1172779	1400
CHEMBL1908	CHEMBL178036	6.1
CHEMBL1908	CHEMBL1172842	5060
CHEMBL1908	CHEMBL1765231	4646
CHEMBL1908	CHEMBL1765228	21
CHEMBL1908	CHEMBL591698	47.93
CHEMBL1908	CHEMBL592614	57.27
CHEMBL1908	CHEMBL493485	953
CHEMBL1908	CHEMBL2333330	25.4
CHEMBL1908	CHEMBL500145	100
CHEMBL1908	CHEMBL2333326	0.5
CHEMBL1908	CHEMBL254328	1609
CHEMBL1908	CHEMBL1171987	287
CHEMBL1908	CHEMBL1645413	24800
CHEMBL1908	CHEMBL383806	125
CHEMBL1908	CHEMBL1645416	5920
CHEMBL1908	CHEMBL2312968	68
CHEMBL1908	CHEMBL522228	2135
CHEMBL1908	CHEMBL383807	1472
CHEMBL1908	CHEMBL591697	10.98
CHEMBL1908	CHEMBL2331703	6930
CHEMBL1908	CHEMBL175144	18.7
CHEMBL1908	CHEMBL1645408	10200
CHEMBL1908	CHEMBL1645409	16700
CHEMBL1908	CHEMBL1645412	7500
CHEMBL1908	CHEMBL2011245	320
CHEMBL1908	CHEMBL2312959	88
CHEMBL1908	CHEMBL2312957	1003
CHEMBL1908	CHEMBL496263	686
CHEMBL1908	CHEMBL1765225	1748
CHEMBL1908	CHEMBL1765230	2058
CHEMBL1908	CHEMBL2312967	4
CHEMBL1908	CHEMBL193652	270
CHEMBL1908	CHEMBL445259	373
CHEMBL1908	CHEMBL1209558	122
CHEMBL1908	CHEMBL608140	324.795
CHEMBL1908	CHEMBL402298	167
CHEMBL1908	CHEMBL1173259	3100
CHEMBL1908	CHEMBL359817	20.6
CHEMBL1908	CHEMBL1651507	3
CHEMBL1908	CHEMBL365120	1424
CHEMBL1908	CHEMBL1651508	4
CHEMBL1908	CHEMBL2312970	1220
CHEMBL1908	CHEMBL496288	1076
CHEMBL1908	CHEMBL1765232	333
CHEMBL1908	CHEMBL598391	143.77
CHEMBL1908	CHEMBL162496	141.125
CHEMBL1908	CHEMBL2312962	1336
CHEMBL1908	CHEMBL516643	152
CHEMBL1908	CHEMBL1765224	496
CHEMBL1908	CHEMBL1765222	40
CHEMBL1908	CHEMBL1765207	247
CHEMBL1908	CHEMBL502818	875
CHEMBL1908	CHEMBL447591	238
CHEMBL1908	CHEMBL1645418	16100
CHEMBL1908	CHEMBL1214739	627
CHEMBL1908	CHEMBL496286	2748
CHEMBL1908	CHEMBL2312969	2270
CHEMBL1908	CHEMBL2165314	2867
CHEMBL1908	CHEMBL599222	213.4
CHEMBL1908	CHEMBL463582	4.795
CHEMBL1908	CHEMBL599223	72.72
CHEMBL1908	CHEMBL597369	389.525
CHEMBL1908	CHEMBL194440	1937
CHEMBL1908	CHEMBL2163649	50
CHEMBL1908	CHEMBL2163642	40
CHEMBL1908	CHEMBL377770	491.89
CHEMBL1908	CHEMBL1173326	7300
CHEMBL1908	CHEMBL1765226	128
CHEMBL1908	CHEMBL403598	19
CHEMBL1908	CHEMBL1765221	490
CHEMBL1908	CHEMBL349822	369.77
CHEMBL1908	CHEMBL158635	79
CHEMBL1908	CHEMBL2333331	92.5
CHEMBL1908	CHEMBL2163646	40
CHEMBL1908	CHEMBL2333332	24.4
CHEMBL1908	CHEMBL205881	1729
CHEMBL1908	CHEMBL211207	209.965
CHEMBL1908	CHEMBL2331704	108
CHEMBL1908	CHEMBL1214736	415
CHEMBL1908	CHEMBL193997	311
CHEMBL1908	CHEMBL2312972	78
CHEMBL1908	CHEMBL2311553	224
CHEMBL1908	CHEMBL598390	205.085
CHEMBL1908	CHEMBL1765220	43
CHEMBL1908	CHEMBL611680	478.315
CHEMBL1908	CHEMBL2165315	1098
CHEMBL1908	CHEMBL501779	19816
CHEMBL1908	CHEMBL2163647	144
CHEMBL1908	CHEMBL590987	693.415
CHEMBL1908	CHEMBL366490	774
CHEMBL1908	CHEMBL177468	25.9
CHEMBL1908	CHEMBL1173260	600.5
CHEMBL1908	CHEMBL193606	715
CHEMBL1908	CHEMBL1214737	469
CHEMBL1908	CHEMBL500394	67
CHEMBL1908	CHEMBL163922	1000
CHEMBL1908	CHEMBL539168	291
CHEMBL1908	CHEMBL524011	1956
CHEMBL1908	CHEMBL1209553	50.2
CHEMBL1908	CHEMBL494712	3559
CHEMBL1908	CHEMBL499871	1047
CHEMBL1908	CHEMBL206300	5684
CHEMBL1908	CHEMBL495333	2936
CHEMBL1908	CHEMBL369623	657
CHEMBL1908	CHEMBL598389	235.21
CHEMBL1908	CHEMBL1172847	37470
CHEMBL1908	CHEMBL496469	1370
CHEMBL1908	CHEMBL597368	205.085
CHEMBL1908	CHEMBL1765219	58
CHEMBL1908	CHEMBL608437	151.18
CHEMBL1908	CHEMBL2165316	3737
CHEMBL1908	CHEMBL1651495	5
CHEMBL1908	CHEMBL2165317	790
CHEMBL1908	CHEMBL179222	484
CHEMBL1908	CHEMBL522860	785
CHEMBL1908	CHEMBL498652	1159
CHEMBL1908	CHEMBL2165313	11940
CHEMBL1908	CHEMBL307160	22.3
CHEMBL1908	CHEMBL441367	570
CHEMBL1908	CHEMBL363621	87
CHEMBL1908	CHEMBL1444	2620
CHEMBL1908	CHEMBL206070	1291
CHEMBL1908	CHEMBL500395	99
CHEMBL1908	CHEMBL525785	843
CHEMBL1908	CHEMBL591229	30.95
CHEMBL1908	CHEMBL499044	64
CHEMBL1908	CHEMBL206351	578
CHEMBL1908	CHEMBL2312953	745
CHEMBL1908	CHEMBL2011437	29
CHEMBL1908	CHEMBL225499	72
CHEMBL1908	CHEMBL1328035	779
CHEMBL1908	CHEMBL2312958	532
CHEMBL1908	CHEMBL500146	15
CHEMBL1908	CHEMBL14192	482.186666666667
CHEMBL1908	CHEMBL500393	151
CHEMBL1908	CHEMBL62811	6746
CHEMBL1908	CHEMBL1688911	933
CHEMBL1908	CHEMBL1651496	15
CHEMBL1908	CHEMBL493082	2804
CHEMBL1908	CHEMBL502266	248
CHEMBL1908	CHEMBL494713	4329
CHEMBL1908	CHEMBL1209628	340
CHEMBL1908	CHEMBL179149	931
CHEMBL1908	CHEMBL1765223	183
CHEMBL1908	CHEMBL681	0.5
CHEMBL1908	CHEMBL502823	41557
CHEMBL1908	CHEMBL205503	2117
CHEMBL1908	CHEMBL449894	1760
CHEMBL1908	CHEMBL2312949	1230
CHEMBL1908	CHEMBL1765205	715
CHEMBL1908	CHEMBL2165318	1077
CHEMBL1908	CHEMBL1651505	5
CHEMBL1908	CHEMBL2312950	140
CHEMBL1908	CHEMBL366773	2640
CHEMBL1908	CHEMBL500663	461
CHEMBL1908	CHEMBL2312964	750
CHEMBL1908	CHEMBL2163643	29
CHEMBL1908	CHEMBL2331700	17296
CHEMBL1908	CHEMBL1173335	2000
CHEMBL1908	CHEMBL457425	5177
CHEMBL1908	CHEMBL2011260	95
CHEMBL1908	CHEMBL2312951	1420
CHEMBL1908	CHEMBL500676	435
CHEMBL1908	CHEMBL206283	1268
CHEMBL1908	CHEMBL2163648	70
CHEMBL1908	CHEMBL2312955	276
CHEMBL1908	CHEMBL2011434	167
CHEMBL1908	CHEMBL2011436	500
CHEMBL1908	CHEMBL9298	8.66666666666667
CHEMBL1908	CHEMBL2011431	16
CHEMBL1908	CHEMBL31215	40
CHEMBL1908	CHEMBL502824	255
CHEMBL1908	CHEMBL1765218	2077
CHEMBL1908	CHEMBL499007	191
CHEMBL1908	CHEMBL500392	10
CHEMBL1908	CHEMBL2312954	5399
CHEMBL1908	CHEMBL448064	614
CHEMBL1908	CHEMBL2333333	13.1
CHEMBL1908	CHEMBL2011250	409
CHEMBL1908	CHEMBL2011251	782
CHEMBL1908	CHEMBL295698	175.5
CHEMBL1908	CHEMBL1209554	103
CHEMBL1908	CHEMBL287677	64.45
CHEMBL1908	CHEMBL500636	8925
