protein	compound	aveaffinty
CHEMBL1811	CHEMBL1915254	5.01
CHEMBL1811	CHEMBL218071	39000
CHEMBL1811	CHEMBL182368	4.5
CHEMBL1811	CHEMBL234398	25
CHEMBL1811	CHEMBL384878	8500
CHEMBL1811	CHEMBL173499	364
CHEMBL1811	CHEMBL466101	25.12
CHEMBL1811	CHEMBL1915019	501.19
CHEMBL1811	CHEMBL495090	79.43
CHEMBL1811	CHEMBL180343	23000
CHEMBL1811	CHEMBL508276	79.43
CHEMBL1811	CHEMBL426559	1160
CHEMBL1811	CHEMBL523216	15.85
CHEMBL1811	CHEMBL184779	117.5
CHEMBL1811	CHEMBL1628612	0.631
CHEMBL1811	CHEMBL585581	8104
CHEMBL1811	CHEMBL289373	3100
CHEMBL1811	CHEMBL467114	12.59
CHEMBL1811	CHEMBL467720	10
CHEMBL1811	CHEMBL426387	4400
CHEMBL1811	CHEMBL376053	19000
CHEMBL1811	CHEMBL492840	100
CHEMBL1811	CHEMBL218228	2600
CHEMBL1811	CHEMBL495107	25.12
CHEMBL1811	CHEMBL220820	23000
CHEMBL1811	CHEMBL362851	143
CHEMBL1811	CHEMBL382197	18550
CHEMBL1811	CHEMBL37244	10000
CHEMBL1811	CHEMBL369797	1100
CHEMBL1811	CHEMBL466102	79.43
CHEMBL1811	CHEMBL467113	39.81
CHEMBL1811	CHEMBL492238	5.01
CHEMBL1811	CHEMBL222677	18000
CHEMBL1811	CHEMBL513491	12.59
CHEMBL1811	CHEMBL182367	260
CHEMBL1811	CHEMBL494466	100
CHEMBL1811	CHEMBL479439	11600
CHEMBL1811	CHEMBL1915018	125.89
CHEMBL1811	CHEMBL172250	2700
CHEMBL1811	CHEMBL466103	39.81
CHEMBL1811	CHEMBL493254	39.81
CHEMBL1811	CHEMBL523158	7.94
CHEMBL1811	CHEMBL481813	6900
CHEMBL1811	CHEMBL520438	6.31
CHEMBL1811	CHEMBL815	380
CHEMBL1811	CHEMBL434173	5000
CHEMBL1811	CHEMBL511919	199.53
CHEMBL1811	CHEMBL492237	7.94
CHEMBL1811	CHEMBL468723	100
CHEMBL1811	CHEMBL511252	31.62
CHEMBL1811	CHEMBL176692	4600
CHEMBL1811	CHEMBL482330	1400
CHEMBL1811	CHEMBL257998	39.81
CHEMBL1811	CHEMBL511733	100
CHEMBL1811	CHEMBL495294	31.62
CHEMBL1811	CHEMBL36041	1360
CHEMBL1811	CHEMBL495091	50.12
CHEMBL1811	CHEMBL425681	713
CHEMBL1836	CHEMBL255906	4.585
CHEMBL1836	CHEMBL548	2.16333333333333
CHEMBL1836	CHEMBL1084552	0.38
CHEMBL1836	CHEMBL249136	250
CHEMBL1836	CHEMBL257255	6.66
CHEMBL1836	CHEMBL218229	1000
