protein	compound	aveaffinty
CHEMBL2736	CHEMBL1830713	2400
CHEMBL2736	CHEMBL1223241	122
CHEMBL2736	CHEMBL1830714	3000
CHEMBL2736	CHEMBL1672243	426
CHEMBL2736	CHEMBL1830906	290
CHEMBL2736	CHEMBL2023462	250
CHEMBL2736	CHEMBL1223015	177
CHEMBL2736	CHEMBL2023627	10000
CHEMBL2736	CHEMBL1223083	27
CHEMBL2736	CHEMBL1223085	325
CHEMBL2736	CHEMBL1830712	3200
CHEMBL2736	CHEMBL1909431	2150
CHEMBL2736	CHEMBL1921959	370
CHEMBL2736	CHEMBL1223385	2170
CHEMBL2736	CHEMBL1385271	977
CHEMBL2736	CHEMBL2022867	220
CHEMBL2736	CHEMBL2023461	390
CHEMBL2736	CHEMBL1727966	59.4
CHEMBL2736	CHEMBL2023470	1800
CHEMBL2736	CHEMBL1209744	16400
CHEMBL2736	CHEMBL1209431	1000
CHEMBL2736	CHEMBL1830904	1100
CHEMBL2736	CHEMBL1909436	4720
CHEMBL2736	CHEMBL1921951	353
CHEMBL2736	CHEMBL1909434	403
CHEMBL2736	CHEMBL1830898	3400
CHEMBL2736	CHEMBL2023469	6000
CHEMBL2736	CHEMBL1209742	9400
CHEMBL2736	CHEMBL1209435	6900
CHEMBL2736	CHEMBL1209514	200
CHEMBL2736	CHEMBL1223384	237
CHEMBL2736	CHEMBL1509597	1440
CHEMBL2736	CHEMBL1223313	269
CHEMBL2736	CHEMBL1830914	51
CHEMBL2736	CHEMBL1830701	2200
CHEMBL2736	CHEMBL1223314	990
CHEMBL2736	CHEMBL2023457	220
CHEMBL2736	CHEMBL2023455	550
CHEMBL2736	CHEMBL1830909	2700
CHEMBL2736	CHEMBL2023459	540
CHEMBL2736	CHEMBL1698322	674
CHEMBL2736	CHEMBL2023456	590
CHEMBL2736	CHEMBL1705230	158
CHEMBL2736	CHEMBL1830912	600
CHEMBL2736	CHEMBL1830902	750
CHEMBL2736	CHEMBL1209438	800
CHEMBL2736	CHEMBL1830907	4900
CHEMBL2736	CHEMBL1830905	650
CHEMBL2736	CHEMBL1209437	7800
CHEMBL2736	CHEMBL1672257	1410
CHEMBL2736	CHEMBL1830910	390
CHEMBL2736	CHEMBL230951	53000
CHEMBL2736	CHEMBL1223159	1030
CHEMBL2736	CHEMBL1705559	6200
CHEMBL2736	CHEMBL1830900	140
CHEMBL2888	CHEMBL192051	436
CHEMBL2888	CHEMBL192977	146
CHEMBL2888	CHEMBL8759	109.3
CHEMBL2888	CHEMBL365368	511
CHEMBL2888	CHEMBL1630805	13400
CHEMBL2888	CHEMBL1630806	8900
CHEMBL2888	CHEMBL1630807	10400
CHEMBL3227	CHEMBL1290787	570
