cid,compound,aveaffinty
1400,CHEMBL306380,170.0
4877,CHEMBL264406,150.0
4878,CHEMBL406845,41.0
123631,CHEMBL939,3200.0
160355,CHEMBL14762,260.0
176155,CHEMBL10,80.5
176870,CHEMBL553,3500.0
3025986,CHEMBL296468,1800.0
3035462,CHEMBL361708,35.0
4521392,CHEMBL440084,170.0
5280953,CHEMBL269538,1500.0
5288600,CHEMBL489156,1785.0
5328940,CHEMBL288441,240.0
5329102,CHEMBL535,15.0
5353940,CHEMBL278041,59.0
6419753,CHEMBL410456,300.0
6445562,CHEMBL607707,1100.0
9882612,CHEMBL332551,1352.0
9925594,CHEMBL526901,58.0
10138259,CHEMBL1721885,260.0
10427712,CHEMBL230011,1300.0
10461815,CHEMBL450786,4200.0
11314340,CHEMBL379218,210.0
11364421,CHEMBL513909,1500.0
11409972,CHEMBL574738,2500.0
11427553,CHEMBL1908397,2300.0
11502255,CHEMBL489344,1400.0
11681588,CHEMBL1951415,8.0
11717001,CHEMBL525191,1400.0
17755052,CHEMBL521851,1200.0
24905147,CHEMBL1241674,320.0
25182616,CHEMBL464552,3500.0
44299148,CHEMBL162,2400.0
44576212,CHEMBL523938,400.0
45481524,CHEMBL576817,510.0
57397989,CHEMBL1908392,1300.0
71553011,CHEMBL2312645,30000.0
71553012,CHEMBL2312646,2390.0
71553152,CHEMBL2312652,4500.0
71553154,CHEMBL2312654,110.0
