cid,compound,aveaffinty
60490,CHEMBL93,420.0
114999,CHEMBL14823,1.0
178581,CHEMBL380555,20.0
196905,CHEMBL328492,10.9
204058,CHEMBL419948,14.5
5280492,CHEMBL65061,32.0
6435820,CHEMBL422598,7.1
6439436,CHEMBL112338,4.7
6441619,CHEMBL90214,6683.59333333
6852392,CHEMBL1256923,125.89
9805394,CHEMBL166699,2.4
9867257,CHEMBL51770,63.1
9958441,CHEMBL337995,1.5
9958915,CHEMBL167669,8.5
9978895,CHEMBL342416,6.0
10021742,CHEMBL111825,2016.66666667
10037501,CHEMBL485053,100000.0
10529082,CHEMBL127913,1.2
10529241,CHEMBL127376,1.3
10648186,CHEMBL126976,1.4
10694814,CHEMBL123862,2.8
11549986,CHEMBL406432,16.0
11798329,CHEMBL127341,12.0
11798848,CHEMBL123722,1.5
15237280,CHEMBL167474,5.3
15817161,CHEMBL167804,0.85
20704716,CHEMBL485054,10450.0
24850666,CHEMBL384950,44.5
44302965,CHEMBL58495,3.2
44302966,CHEMBL262530,320.0
44379453,CHEMBL167350,0.15
44379678,CHEMBL422388,0.1
44403368,CHEMBL412510,8.0
44403823,CHEMBL415548,42.0
44404447,CHEMBL437275,230.0
53317993,CHEMBL1628604,13.0
71720347,CHEMBL2311139,0.7
