cid,compound,aveaffinty
5287969,CHEMBL428690,3100.0
5328940,CHEMBL288441,53.0
5329102,CHEMBL535,620.0
5330790,CHEMBL191003,8300.0
5494449,CHEMBL572878,2600.0
9977819,CHEMBL522892,480.0
10138259,CHEMBL1721885,480.0
10461815,CHEMBL450786,700.0
11213558,CHEMBL475251,13.0
11427553,CHEMBL1908397,340.0
11626560,CHEMBL601719,710.0
11626927,CHEMBL373751,39.81
16038120,CHEMBL509032,1100.0
16047968,CHEMBL397009,1584.89
16048415,CHEMBL230911,3981.07
16722836,CHEMBL1287853,360.0
25126798,CHEMBL1789941,1200.0
44299148,CHEMBL162,5.1
57397989,CHEMBL1908392,170.0
57399640,CHEMBL1908393,1400.0
71553011,CHEMBL2312645,30000.0
71553012,CHEMBL2312646,30000.0
71553085,CHEMBL2312649,30000.0
71553152,CHEMBL2312652,30000.0
71553154,CHEMBL2312654,30000.0
71717270,CHEMBL2309006,11.0
