cid,compound,aveaffinty
153999,CHEMBL91829,4600.0
176167,CHEMBL300138,2800.0
176870,CHEMBL553,6400.0
285315,CHEMBL1939166,1880.0
5287969,CHEMBL428690,1600.0
5312126,CHEMBL28324,380.0
5329102,CHEMBL535,760.0
6918852,CHEMBL384304,1400.0
9604197,CHEMBL1939164,2460.0
9926791,CHEMBL221959,2700.0
10138259,CHEMBL1721885,760.0
10461815,CHEMBL450786,2900.0
11213558,CHEMBL475251,3000.0
11314340,CHEMBL379218,270.0
11364421,CHEMBL513909,2400.0
15983966,CHEMBL1908394,620.0
16038120,CHEMBL509032,570.0
16722836,CHEMBL1287853,590.0
24193401,CHEMBL1939161,2.0
24193439,CHEMBL1939162,82.0
24862937,CHEMBL272978,110.0
25126798,CHEMBL1789941,90.0
44299148,CHEMBL162,0.41
44453784,CHEMBL270849,320.0
54600244,CHEMBL1939163,619.0
57393706,CHEMBL1939328,154.0
57402402,CHEMBL1939165,1660.0
57402443,CHEMBL1939327,401.0
71717270,CHEMBL2309006,8.8
