cid,compound,aveaffinty
153999,CHEMBL91829,9700.0
176870,CHEMBL553,3850.0
447077,CHEMBL386051,6300.0
2727432,CHEMBL2348936,242.0
5287969,CHEMBL428690,1500.0
5328940,CHEMBL288441,665.0
5329102,CHEMBL535,93.0
6450551,CHEMBL1289926,955.0
7190424,CHEMBL2348972,458.0
7190426,CHEMBL2348973,463.0
9926791,CHEMBL221959,925.0
9977819,CHEMBL522892,1190.0
10138259,CHEMBL1721885,71.0
11213558,CHEMBL475251,31.5
11314340,CHEMBL379218,1650.0
11409972,CHEMBL574738,2675.0
11427553,CHEMBL1908397,197.5
16038120,CHEMBL509032,1.13
16722836,CHEMBL1287853,935.0
16798824,CHEMBL2348937,535.0
18561027,CHEMBL2348974,338.0
24905147,CHEMBL1241674,995.0
25126798,CHEMBL1789941,190.0
25182616,CHEMBL464552,450.0
43668876,CHEMBL2347808,103.0
44299148,CHEMBL162,1.745
44444551,CHEMBL250364,781.0
53246941,CHEMBL1933288,16.0
54754832,CHEMBL2171746,105.0
54755067,CHEMBL2178131,63.0
54755789,CHEMBL2178142,69.0
57397989,CHEMBL1908392,41.5
58539094,CHEMBL2171745,9.0
58539095,CHEMBL2178133,16.0
58539106,CHEMBL2178126,24.0
58539109,CHEMBL2178124,7.0
58539140,CHEMBL2171743,13.0
58539146,CHEMBL2171744,418.0
58539171,CHEMBL2178134,9.0
58539237,CHEMBL2178132,35.0
58539246,CHEMBL2178127,27.0
58539301,CHEMBL2170016,29.0
69091994,CHEMBL2326710,170.0
69092378,CHEMBL2326711,130.0
69093313,CHEMBL2326712,99.0
69281457,CHEMBL2326726,28.0
69281523,CHEMBL2326714,41.0
69281543,CHEMBL2326715,39.0
69281678,CHEMBL2326713,52.0
70096101,CHEMBL2178123,53.0
71060772,CHEMBL2333122,412.0
71060894,CHEMBL2333129,10.0
71060941,CHEMBL2333114,30.0
71060955,CHEMBL2333126,15.0
71060982,CHEMBL2333117,378.0
71060999,CHEMBL2333134,17.0
71061025,CHEMBL2333115,1.0
71061036,CHEMBL2333127,1.0
71061083,CHEMBL2333132,23.0
71061182,CHEMBL2333131,46.0
71061196,CHEMBL2333116,12.0
71061284,CHEMBL2333112,15.0
71061321,CHEMBL2333119,53.0
71061353,CHEMBL2333136,142.0
71061365,CHEMBL2333130,17.0
71061394,CHEMBL2333133,49.0
71061450,CHEMBL2333139,145.0
71061479,CHEMBL2333135,119.0
71061494,CHEMBL2333138,121.0
71061505,CHEMBL2333128,1.0
71061537,CHEMBL2333118,9.0
71450027,CHEMBL2178140,10.0
71451846,CHEMBL2178130,11.0
71451847,CHEMBL2178135,4.0
71451848,CHEMBL2178137,27.0
71451849,CHEMBL2178138,17.0
71451850,CHEMBL2178141,22.0
71455393,CHEMBL2178129,43.0
71457164,CHEMBL2178125,21.0
71460830,CHEMBL2178136,100.0
71460831,CHEMBL2178139,51.0
71519483,CHEMBL2333137,965.0
71553438,CHEMBL2348962,32.0
71553439,CHEMBL2347824,7.0
71578245,CHEMBL2348938,75.0
71578246,CHEMBL2348939,101.0
71578314,CHEMBL2348940,10660.0
71578315,CHEMBL2347817,46.0
71578667,CHEMBL2348941,4215.0
71578668,CHEMBL2348942,3400.0
71578669,CHEMBL2348943,76.0
71578670,CHEMBL2348944,53.0
71578671,CHEMBL2348945,74.0
71578672,CHEMBL2348946,88.0
71578673,CHEMBL2348947,140.0
71578754,CHEMBL2348948,613.0
71578755,CHEMBL2348949,164.0
71578756,CHEMBL2348950,211.0
71578757,CHEMBL2348951,859.0
71578758,CHEMBL2348952,3305.0
71578759,CHEMBL2348953,265.0
71578843,CHEMBL2348955,674.0
71578844,CHEMBL2348956,994.0
71578845,CHEMBL2346687,1549.0
71578846,CHEMBL2348957,5329.0
71578849,CHEMBL2348960,5897.0
71578927,CHEMBL2348961,3168.0
71578928,CHEMBL2348963,31.0
71578929,CHEMBL2348964,169.0
71578930,CHEMBL2348965,138.0
71578931,CHEMBL2348966,75.0
71578932,CHEMBL2348967,281.0
71578933,CHEMBL2348968,117.0
71579008,CHEMBL2348969,183.0
71579009,CHEMBL2348970,159.0
71579010,CHEMBL2348971,98.0
71579011,CHEMBL2348975,1294.0
71579086,CHEMBL2348976,2420.0
71579087,CHEMBL2348977,384.0
71579088,CHEMBL2348978,1662.0
71579170,CHEMBL2349089,25000.0
71579171,CHEMBL2349090,26000.0
71579172,CHEMBL2349091,2580.0
71579173,CHEMBL2349092,4730.0
71579260,CHEMBL2347825,9.0
71579261,CHEMBL2347826,14.0
71579330,CHEMBL2347827,23.0
71579331,CHEMBL2347804,12.0
71579332,CHEMBL2347805,37.0
71579333,CHEMBL2347806,64.0
71579334,CHEMBL2347807,109.0
71579335,CHEMBL2347809,10.0
71579413,CHEMBL2347810,16.0
71579414,CHEMBL2347811,20.0
71579415,CHEMBL2347812,52.0
71579416,CHEMBL2347813,281.0
71579417,CHEMBL2347814,450.0
71579418,CHEMBL2347815,682.0
71579419,CHEMBL2347816,2333.0
71618473,CHEMBL2333113,2.0
71716389,CHEMBL2333124,3199.0
71717133,CHEMBL2347822,2020.0
71717134,CHEMBL2347823,31.0
71717270,CHEMBL2309006,3.05
71718226,CHEMBL2333125,37.0
71718384,CHEMBL2348954,314.0
71718965,CHEMBL2347821,91856.0
71719424,CHEMBL2333123,168.0
71720020,CHEMBL2333120,9.0
71720168,CHEMBL2347819,66.0
71720656,CHEMBL2333121,14.0
71720813,CHEMBL2347818,48.0
71720814,CHEMBL2347820,1747.0
